Start_Time,End_Time,Facility_Code,Participant_Code,Status,Reason,Outage_MW,Recovery_Time_Minutes,Description
13/09/2017 01:00:00,13/09/2017 01:00:00,BW1_GREENWATERS_G2,GW,Approved,Forced,27.65,0,Operational Issues caused real time forced outage.
19/09/2017 10:00:00,20/09/2017 03:00:00,TIWEST_COG1,TRMOS,Approved,Forced,42.1,,"Loss of Power to GT Speedtronic controls
"
7/09/2017 14:00:00,7/09/2017 14:30:00,KORL_GT3,KORL,Approved,Forced,100.1,4,FO
16/09/2017 17:00:00,18/09/2017 16:00:00,PJRH_GT11,PJRH,Approved,Forced,118.609,,FO
16/09/2017 09:30:00,16/09/2017 09:30:00,PJRH_GT11,PJRH,Approved,Forced,24.8,0,FO
15/09/2017 20:00:00,15/09/2017 20:00:00,PJRH_GT11,PJRH,Approved,Forced,4.96,0,FO
15/09/2017 20:30:00,16/09/2017 09:00:00,PJRH_GT11,PJRH,Approved,Forced,37.2,,FO
12/09/2017 09:30:00,12/09/2017 15:00:00,KORL_GT3,KORL,Approved,Opportunistic Maintenance (Planned),100.1,0,ODOM
12/09/2017 17:00:00,12/09/2017 19:00:00,STHRNCRS_EG,STHRNCRS,Approved,Forced,23,,Unit tripped after being returned-to-service following a planned outage.
18/09/2017 07:30:00,18/09/2017 09:30:00,MWF_MUMBIDA_WF1,MCG,Approved,Forced,55,,FO
14/09/2017 10:00:00,14/09/2017 13:00:00,MWF_MUMBIDA_WF1,MCG,Approved,Forced,55,,transformer trip
14/09/2017 09:30:00,14/09/2017 09:30:00,MWF_MUMBIDA_WF1,MCG,Approved,Forced,18.333,,transformer trip
2/10/2017 08:00:00,3/10/2017 07:30:00,BW1_GREENWATERS_G2,GW,Approved,Scheduled (Planned),156,10,PD testing
11/09/2017 13:30:00,11/09/2017 16:30:00,STHRNCRS_EG,STHRNCRS,Approved,Forced,8,,An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity.
6/09/2017 14:30:00,7/09/2017 07:30:00,STHRNCRS_EG,STHRNCRS,Approved,Forced,8,,An unplanned load increase (?behind-the-fence?) led to a reduction in available capacity.
8/09/2017 08:00:00,8/09/2017 08:00:00,AURICON_PNJ_U1,AURICON,Approved,Forced,131.232,,slow to ramp up
14/10/2017 06:00:00,14/10/2017 06:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
13/10/2017 16:30:00,13/10/2017 18:00:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
13/10/2017 06:00:00,13/10/2017 06:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
12/10/2017 16:30:00,12/10/2017 18:00:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
12/10/2017 06:00:00,12/10/2017 06:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
11/10/2017 05:00:00,11/10/2017 18:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
10/10/2017 12:30:00,10/10/2017 18:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
10/10/2017 05:00:00,10/10/2017 06:30:00,AURICON_PNJ_U1,AURICON,Approved,Scheduled (Planned),44.6,39,general maintenance
14/09/2017 23:00:00,14/09/2017 23:00:00,AUXC_WGP,AUXC,Approved,Forced,8.5,,Refinery Steam and Power Imbalance.
15/09/2017 14:30:00,15/09/2017 15:00:00,PJRH_GT11,PJRH,Approved,Forced,18.6,,FO
13/09/2017 22:30:00,13/09/2017 22:30:00,AUXC_WGP,AUXC,Approved,Forced,9.65,,Refinery Steam Power Imbalance.
13/09/2017 22:00:00,13/09/2017 22:00:00,AUXC_WGP,AUXC,Approved,Forced,8.78,,Refinery Steam Power Imbalance.
12/09/2017 07:00:00,12/09/2017 07:00:00,KORL_GT3,KORL,Approved,Forced,26.46,0,FO
12/09/2017 06:30:00,12/09/2017 06:30:00,KORL_GT3,KORL,Approved,Forced,44.1,0,FO
12/09/2017 06:00:00,12/09/2017 06:00:00,KORL_GT3,KORL,Approved,Forced,35.28,,FO
7/09/2017 16:30:00,7/09/2017 16:30:00,AURICON_PNJ_U1,AURICON,Approved,Forced,144.518,,Unit slow to ramp up.
